countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,cn,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rnna,rkna,rtfpna,rwtfpna,labsh,irr,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,i_irr,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k,type,cases,rgdpe_per_pers,cases_per_pers
GRC,Greece,Euro,2019,302222.2813,284893.625,10.473455,4.235072613,2036.463521,3.135317564,260301.1719,306900.5625,301896.875,286884.5313,2565751.0,0.024298014,0.543691695,0.559388876,289493.2188,260046.0,307537.5,2569462.25,0.982764363,1.018970609,1.009082675,0.550890148,0.065157644,0.029317278,0.893276257,0.701786399,0.680122018,0.71571207,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.694118679,0.162432522,0.213219061,0.205809832,-0.377414972,0.101834871,0.714134037,0.55910635,0.661589742,0.641652763,0.574447691,0.383819312,0.439473718,confirmed,1812384.0,28856.025189395474,0.17304547544243995
GRD,Grenada,East Caribbean Dollar,2019,1803.386475,1721.965698,0.112003,0.063595764,,,1559.157471,1878.578735,1798.989502,1732.567383,6703.829102,,,,1668.755981,1555.787354,1876.039307,6735.993164,,,,,,0.040290304,2.7,0.639462471,0.673499525,0.69931972,Extrapolated,Extrapolated,Market-based,Regular,,,57.77776667,0.735752106,0.184362963,0.164159462,0.032866634,-0.254811078,0.137669891,0.663672924,0.839640796,0.530952871,0.664586782,0.584969282,0.652947962,,confirmed,11344.0,16101.233672312348,0.10128300134817816
GTM,Guatemala,Quetzal,2019,139241.0781,136605.0156,17.581472,7.093373299,,1.954362869,132263.6094,153565.9844,139007.0469,137257.5313,450848.75,0.00414512,0.644572318,0.693587184,136121.1875,132020.4531,153610.9688,451812.6563,1.044934154,1.004004836,1.022326827,0.49327305,0.174151868,0.038206503,7.696698333,0.556531906,0.551845431,0.558879435,Extrapolated,Extrapolated,Market-based,Regular,Regular,,67.7778,0.810829222,0.155200019,0.152787164,0.126703903,-0.252653629,0.007133298,0.585067213,0.522747576,0.405097276,0.649136543,0.572994351,0.393034816,1.085917473,confirmed,670489.0,7919.762241750861,0.03813611283514827
GUY,Guyana,Guyana Dollar,2019,10438.49316,10184.11523,0.782766,0.257115543,,2.703484297,10096.7002,12643.43848,10426.89063,10306.14746,,,,,10396.04297,9995.639648,12610.27148,,,,,,,,208.5,0.451290369,0.496193975,0.502007186,Extrapolated,Extrapolated,Market-based,Regular,,,50.0,0.661958456,0.247108653,0.317719012,0.327076912,-0.549467683,-0.00439535,0.525085986,0.674216986,0.297539324,0.680704951,0.595399976,,,confirmed,57400.0,13335.394179103334,0.07332970517370455
HND,Honduras,Lempira,2019,51615.92578,52902.53906,9.746117,3.833400011,,2.4374547,48489.86328,59696.03516,51408.27344,53133.13281,235830.9219,0.002703963,0.3660478,0.395538151,53667.33594,48390.39844,59833.02734,236834.1875,1.056535244,0.992378354,0.966323853,0.563505113,0.09623573,0.048842251,24.50853891,0.485606164,0.488157898,0.472310811,Extrapolated,Extrapolated,Market-based,Regular,Regular,,56.6667,0.803487003,0.210907429,0.109123684,0.090149373,-0.294131279,0.080463819,0.472283065,0.49919951,0.583705246,0.645347774,0.585877895,0.311427057,0.469112962,confirmed,387515.0,5296.050291618703,0.03976096326362591
HRV,Croatia,Croatian Kuna,2019,113633.0078,107392.0391,4.130304,1.817624331,1831.32341,3.618901968,85374.13281,114018.7031,113384.4141,108094.8203,602383.25,0.006460676,0.591036022,0.599592268,112132.875,85220.91406,114214.5234,605105.1875,1.039044499,1.000680566,1.019877076,0.590545774,0.070105195,0.044798229,6.622545167,0.550248027,0.532834947,0.558909059,Extrapolated,Extrapolated,Market-based,Regular,Regular,,81.11113333,0.535511792,0.264994889,0.254296005,0.242799014,-0.473110437,0.175508723,0.60650748,0.480935663,0.431773633,0.650137007,0.547594488,0.355368674,0.443383038,confirmed,878891.0,27512.02037428722,0.21279087447316228
HTI,Haiti,Gourde,2019,17242.24609,17503.06055,11.263077,4.534677505,,1.726601243,19314.75586,24231.88086,17140.79688,17676.76563,155952.0,,,,18259.51758,19336.74414,24343.93359,155767.5469,,,,,,0.012515701,88.81496618,0.474342436,0.469709128,0.455467254,Extrapolated,Extrapolated,Market-based,Regular,,,46.66666667,1.069955111,0.278168768,0.022708302,0.138841256,-0.502036393,-0.007637037,0.475098252,0.451509029,0.438730657,0.552805066,0.521274567,0.304802299,,confirmed,28561.0,1530.86461985477,0.0025358079324149167
HUN,Hungary,Forint,2019,322164.7188,283145.1563,9.684679,4.711576939,1725.227965,3.417138577,225844.3906,311503.1875,321530.5313,284589.5,1428009.375,0.016585171,0.637249708,0.670848131,288606.0938,225706.9063,313302.3125,1436131.625,1.077645898,1.045579314,1.077004075,0.555422902,0.078185864,0.047444247,290.66,0.497449517,0.508409023,0.574402988,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.511578858,0.300990701,0.282000661,0.689729095,-0.784299314,1.78039e-16,0.551084638,0.537304461,0.400149792,0.68445909,0.579087317,0.415229857,0.507420897,confirmed,1441385.0,33265.39979280676,0.14883146875595982
IDN,Indonesia,Rupiah,2019,3104438.75,3137931.0,270.625568,131.1706848,2019.923395,2.288165092,2051190.25,3101039.0,3087351.0,3120405.75,18173848.0,0.182558969,0.444860667,0.425197661,3110469.5,2050129.5,3119241.75,17785758.0,1.127281904,1.010215998,1.010775805,0.463750571,0.107771285,0.041685224,14147.67136,0.363814265,0.362508446,0.358668357,Extrapolated,Extrapolated,Market-based,Regular,Regular,,88.8889,0.550960541,0.336446255,0.106386736,0.089376733,-0.081947021,-0.00122329,0.377086014,0.359957159,0.295081913,0.601247847,0.66981101,0.213909402,0.380691737,confirmed,4289305.0,11471.34312896851,0.015849592600208417
IND,India,Indian Rupee,2019,8945547.0,9170555.0,1366.417754,497.6157227,2122.940682,2.171164513,6608023.5,9079422.0,8900328.0,9142121.0,35324124.0,0.416540295,0.438098222,0.418459058,9163052.0,6603997.5,9091771.0,35423256.0,1.1297369,1.020127177,0.999346554,0.521803737,0.124115296,0.057049587,70.41996909,0.312881649,0.324884921,0.316292286,Extrapolated,Extrapolated,Market-based,Regular,Regular,,75.55556667,0.649356723,0.270330966,0.073454052,0.051035259,-0.077877529,0.033700597,0.294905156,0.356979281,0.471799523,0.692823529,0.672622144,0.210068047,0.384406209,confirmed,39799202.0,6546.714556227875,0.029126672193400087
